id;ruolo;nome;squadra;partiteGiocate;mediaVoto;mediaFantaVoto;goalFatti;goalSubiti;rp;rc;r+;r-;assist;asf;ammonizioni;espulsioni;autoGoal;isFavorite
265;C;BROZOVIC;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
272;C;MEDEL;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
280;A;PALACIO;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
282;P;BUFFON;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
286;D;BONUCCI;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
287;D;CACERES;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
288;D;CHIELLINI;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
294;D;RUGANI;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
295;D;ASAMOAH;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
299;C;KHEDIRA;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
302;C;PEREYRA;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
305;C;STURARO;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
306;A;CERRI;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
309;A;DYBALA;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
311;A;LLORENTE;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
312;A;MANDZUKIC;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
313;A;MORATA;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
315;A;ZAZA;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
318;P;MARCHETTI;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
322;D;DE VRIJ;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
324;D;HOEDT;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
327;D;PATRIC;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
329;D;RADU;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
332;C;CANDREVA;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
333;C;CATALDI;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
338;C;LULIC;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
342;C;PAROLO;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
345;A;KEITA B.;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
350;P;DONNARUMMA G.;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
357;D;CALABRIA;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
358;D;DE SCIGLIO;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
365;D;ZAPATA C.;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
367;C;BONAVENTURA;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
374;C;POLI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
376;C;VERDI;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
383;A;PETAGNA;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
387;P;REINA;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
390;D;GHOULAM;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
392;D;KOULIBALY;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
393;D;LUPERTO;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
394;D;MAGGIO;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
397;C;ALLAN;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
400;C;DEZI;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
406;C;CALLEJON;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
407;A;GABBIADINI;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
408;A;HIGUAIN;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
409;A;INSIGNE;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
410;A;MERTENS;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
412;P;COLOMBI;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
418;D;GOLDANIGA;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
423;D;RISPOLI;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
425;D;TERZI;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
428;C;BENALI;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
430;C;BRUGMAN;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
434;C;JAJALO;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
440;C;VIOLA;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
441;A;BELOTTI;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
447;A;LA GUMINA;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
453;P;SZCZESNY;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
454;D;CAPRADOSSI;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
459;D;MANOLAS;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
460;D;ROMAGNOLI;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
464;D;FLORENZI;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
467;C;NAINGGOLAN;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
470;C;STROOTMAN;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
472;A;DESTRO;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
474;A;GERVINHO;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
475;A;IAGO FALQUE;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
479;A;SANABRIA;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
487;D;DE SILVESTRI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
490;D;REGINI;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
495;A;CORREA;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
505;A;BONAZZOLI;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
507;A;MURIEL;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
509;P;CONSIGLI;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
510;P;PEGOLO;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
513;D;ACERBI;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
514;D;ANTEI;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
517;D;DELL'ORCO;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
519;D;GAZZOLA;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
521;D;PELUSO;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
526;C;DUNCAN;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
528;C;MAGNANELLI;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
530;C;PELLEGRINI LO.;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
531;A;BERARDI;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
536;C;POLITANO;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
537;A;SANSONE;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
543;P;PADELLI;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
546;D;BRUNO PERES;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
548;D;GLIK;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
550;D;MAKSIMOVIC;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
554;D;ZAPPACOSTA;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
556;C;BASELLI;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
557;C;BENASSI;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
568;A;QUAGLIARELLA;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
572;P;MERET;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
